true,pred
0.0,1.955012521648314e-05
1.0,0.9999934434890747
0.0,2.7973277610726655e-05
1.0,0.9982746839523315
1.0,1.0
1.0,0.9994220733642578
0.0,2.240122285002144e-06
0.0,0.0017519404646009207
0.0,1.317460282734828e-05
1.0,1.0
1.0,0.9997257590293884
0.0,0.8595808148384094
1.0,0.9999998807907104
0.0,5.902201039020838e-08
1.0,0.9997877478599548
1.0,0.9921749234199524
1.0,0.999895453453064
1.0,1.0
1.0,0.9999762773513794
0.0,1.709852040221449e-05
0.0,0.055186543613672256
1.0,0.9999845027923584
0.0,2.3146316380007192e-05
0.0,2.4863563794497168e-06
1.0,1.0
0.0,2.672873961273581e-06
0.0,1.3537089671444846e-06
0.0,1.0010809091909323e-05
1.0,0.9999134540557861
1.0,0.9999972581863403
1.0,0.9999805688858032
1.0,0.9999997615814209
1.0,0.9989401698112488
1.0,0.999997615814209
1.0,0.9968414306640625
0.0,0.002011021366342902
1.0,0.9992445707321167
1.0,1.0
0.0,0.0016282410360872746
1.0,0.9999990463256836
0.0,0.041234202682971954
1.0,0.999998927116394
0.0,4.5038028474664316e-05
1.0,0.9998708963394165
0.0,8.095094926829915e-06
0.0,2.035567013081163e-05
1.0,0.9999356269836426
1.0,0.9999992847442627
0.0,1.0713180017773993e-05
1.0,1.0
1.0,0.9973811507225037
1.0,1.0
1.0,0.9999998807907104
0.0,3.326218211441301e-05
1.0,0.9999595880508423
0.0,2.112197307724273e-06
0.0,9.404317097505555e-06
1.0,0.9985902905464172
1.0,0.9991652965545654
1.0,0.923916757106781
0.0,0.00021642907813657075
0.0,1.5946022813295713e-07
0.0,0.001042974996380508
1.0,0.9975778460502625
0.0,0.0038525520358234644
0.0,0.0012826755410060287
1.0,0.9999986886978149
0.0,0.00044276192784309387
1.0,0.9992644190788269
1.0,0.9999289512634277
1.0,0.9999986886978149
0.0,0.00027744151884689927
1.0,0.9996744394302368
1.0,0.999620795249939
0.0,0.008489319123327732
1.0,0.9999959468841553
0.0,5.683611107087927e-06
0.0,1.2576650078699458e-05
1.0,0.9999607801437378
0.0,0.0001336945715593174
1.0,0.9999964237213135
1.0,0.9999986886978149
0.0,0.00010883950017159805
1.0,0.9999740123748779
0.0,0.00016716490790713578
0.0,0.0001995930215343833
1.0,0.9999701976776123
0.0,8.116851546446924e-08
0.0,5.992997557768831e-06
1.0,0.999322772026062
0.0,1.505156706116395e-05
1.0,0.9999992847442627
1.0,0.9989078044891357
0.0,0.00031426444184035063
1.0,0.9999984502792358
0.0,0.0007430607220157981
0.0,7.66446737543447e-06
1.0,0.6021153330802917
1.0,0.996109664440155
0.0,0.09013546258211136
0.0,5.842424798174761e-06
1.0,0.9999847412109375
0.0,6.331203621812165e-05
0.0,5.221377108455272e-08
0.0,1.5638673289686267e-07
0.0,8.738564361010503e-07
1.0,0.9999972581863403
1.0,0.9867203235626221
1.0,0.9999995231628418
1.0,0.9999783039093018
0.0,4.793013772541599e-07
0.0,9.204167668031005e-07
0.0,4.721878940472379e-05
0.0,4.749165043449466e-07
0.0,0.00035428584669716656
0.0,0.015346200205385685
1.0,0.9999984502792358
0.0,1.032426212077553e-06
0.0,8.544992306269705e-05
1.0,1.0
1.0,0.9945736527442932
0.0,0.0049684057012200356
1.0,0.9999964237213135
1.0,0.9993853569030762
0.0,1.5400697748191305e-06
1.0,0.9999899864196777
0.0,4.513080421020277e-05
0.0,0.015036971308290958
1.0,0.999451220035553
0.0,0.008760339580476284
1.0,0.9999945163726807
1.0,0.9999994039535522
0.0,0.0002967120090033859
0.0,5.3833307589457036e-08
1.0,0.9999792575836182
0.0,0.0036213360726833344
0.0,0.001175050507299602
0.0,9.945812780642882e-05
0.0,0.0002029022143688053
1.0,0.9999998807907104
1.0,0.9999988079071045
1.0,0.999997615814209
1.0,0.9999996423721313
0.0,1.9060629711020738e-05
1.0,1.0
0.0,1.4803900967308437e-06
1.0,0.9994412064552307
1.0,0.9997171759605408
1.0,0.999911904335022
1.0,0.9998175501823425
0.0,8.118203368212562e-06
1.0,0.9999995231628418
1.0,1.0
1.0,1.0
0.0,0.00014519233081955463
1.0,1.0
0.0,8.330770651809871e-05
0.0,5.257179873296991e-05
1.0,0.9998393058776855
1.0,0.9999772310256958
0.0,0.00010656301310518757
